EOS,sigma,Lambda1p4_GR,Lambda1p4_median,Lambda1p4_p5,Lambda1p4_p95,DeltaLambda1p4_median,DeltaLambda1p4_p5,DeltaLambda1p4_p95,mc_samples
SLy,0.0,455.0502509224901,453.8080165066238,417.92730644226356,491.59969817244985,-1.2422344158663057,-37.122944480226536,36.54944724995979,1000
SLy,0.0003015075376884422,455.0502509224901,454.10821033470165,418.7682300607511,490.8479878294952,-0.9420405877884286,-36.28202086173899,35.797736907005145,1000
SLy,0.0006030150753768844,455.0502509224901,454.20044268868605,419.30241328501194,490.46203142645754,-0.849808233804048,-35.747837637478135,35.411780503967464,1000
SLy,0.0009045226130653265,455.0502509224901,454.3831356968534,419.7572758496501,490.0942244997718,-0.6671152256367057,-35.29297507283999,35.043973577281754,1000
SLy,0.0012060301507537687,455.0502509224901,454.4261827018768,419.8924599813571,489.7317114191932,-0.6240682206132647,-35.15779094113301,34.681460496703075,1000
SLy,0.001507537688442211,455.0502509224901,454.5728257050802,420.29503968434267,489.24831068076236,-0.4774252174098631,-34.75521123814739,34.19805975827228,1000
SLy,0.001809045226130653,455.0502509224901,454.5117123488856,420.5692534145832,488.81407904121875,-0.5385385736044743,-34.480997507906885,33.763828118728675,1000
SLy,0.002110552763819095,455.0502509224901,454.6526530879197,421.1113973761615,488.44234305160484,-0.3975978345703549,-33.93885354632859,33.39209212911476,1000
SLy,0.0024120603015075374,455.0502509224901,454.9236130976777,422.09377828238553,487.91665620631255,-0.1266378248124207,-32.95647264010454,32.86640528382245,1000
SLy,0.0027135678391959797,455.0502509224901,455.1785115732555,423.1980895887745,487.32252163465796,0.12826065076542742,-31.85216133371559,32.27227071216788,1000
SLy,0.003015075376884422,455.0502509224901,455.2213461380513,423.42095586492144,486.94591576273984,0.17109521556122242,-31.629295057568612,31.895664840249744,1000
SLy,0.003316582914572864,455.0502509224901,455.22440875237135,423.65506305400953,486.72952282728875,0.17415782988127626,-31.395187868480527,31.679271904798664,1000
SLy,0.003618090452261306,455.0502509224901,455.16139976056627,424.06638877913866,486.4039481753196,0.11114883807621556,-30.98386214335143,31.353697252829516,1000
SLy,0.003919597989949748,455.0502509224901,455.3797363851165,424.32856879536456,485.9114810280169,0.32948546262641876,-30.72168212712551,30.861230105526804,1000
SLy,0.00422110552763819,455.0502509224901,455.62907874602007,424.6025433108501,485.4018186038618,0.5788278235299691,-30.44770761164001,30.351567681371684,1000
SLy,0.004522613065326633,455.0502509224901,455.6398465189644,425.2274227436893,485.44897076062995,0.5895955964743187,-29.822828178800744,30.398719838139883,1000
SLy,0.004824120603015075,455.0502509224901,455.76605633613286,425.9321015333825,485.29034810351305,0.7158054136428107,-29.118149389107572,30.240097181022968,1000
SLy,0.005125628140703517,455.0502509224901,455.8898503231952,425.94543769467964,485.2399257444707,0.8395994007051196,-29.104813227810443,30.18967482198065,1000
SLy,0.005427135678391959,455.0502509224901,455.95091418262314,426.24346110007303,485.11605863092757,0.9006632601330615,-28.806789822417038,30.065807708437504,1000
SLy,0.005728643216080401,455.0502509224901,455.9760408252346,426.6468016231796,484.84334241952354,0.9257899027444947,-28.403449299310495,29.793091497033476,1000
SLy,0.006030150753768844,455.0502509224901,456.14752452237263,427.0337107471716,484.65501952109327,1.0972735998825565,-28.016540175318458,29.6047685986032,1000
SLy,0.006331658291457286,455.0502509224901,456.4743322274985,427.5904237791824,485.10316992463606,1.4240813050084125,-27.459827143307688,30.052919002146005,1000
SLy,0.006633165829145728,455.0502509224901,456.68698327221796,427.9612289681082,484.8631276513422,1.6367323497278785,-27.089021954381884,29.812876728852125,1000
SLy,0.00693467336683417,455.0502509224901,456.618228470146,428.42560662805687,485.04633458992055,1.5679775476559317,-26.62464429443322,29.99608366743047,1000
SLy,0.007236180904522612,455.0502509224901,456.52921125507305,428.4643961409308,485.0322733139242,1.4789603325829859,-26.58585478155929,29.982022391434082,1000
SLy,0.007537688442211054,455.0502509224901,456.81524581501986,428.7653513008942,485.3801092761714,1.7649948925297623,-26.284899621595834,30.32985835368136,1000
SLy,0.007839195979899497,455.0502509224901,456.79727593957756,428.9015348849392,485.41161247648324,1.7470250170875072,-26.148716037550837,30.36136155399317,1000
SLy,0.008140703517587939,455.0502509224901,456.797427280015,429.05485184264535,485.565506040537,1.7471763575248964,-25.99539907984474,30.515255118046902,1000
SLy,0.00844221105527638,455.0502509224901,456.86955405312915,429.65148022895556,485.57791713792255,1.8193031306390912,-25.3987706935345,30.527666215432454,1000
SLy,0.008743718592964822,455.0502509224901,457.04281380027913,430.2371619217398,485.6028814353873,1.9925628777890685,-24.813089000750285,30.552630512897217,1000
SLy,0.009045226130653266,455.0502509224901,457.0075344244127,430.5360493936074,485.31479756392787,1.9572835019226107,-24.51420152888267,30.264546641437803,1000
SLy,0.009346733668341708,455.0502509224901,457.02042322361103,430.4467076996325,485.0581158242338,1.9701723011209475,-24.603543222857578,30.00786490174373,1000
SLy,0.00964824120603015,455.0502509224901,457.12004881770724,430.67580711340577,484.77563872153956,2.0697978952171407,-24.3744438090843,29.725387799049482,1000
SLy,0.009949748743718591,455.0502509224901,457.26375979531565,430.46044005126083,485.00447691957606,2.2135088728255505,-24.589810871229258,29.954225997085985,1000
SLy,0.010251256281407033,455.0502509224901,457.39847598976604,430.27013562497734,485.33306114879235,2.3482250672759815,-24.780115297512758,30.28281022630225,1000
SLy,0.010552763819095477,455.0502509224901,457.6351842034213,430.5447969090296,485.5475012449046,2.584933280931221,-24.50545401346048,30.49725032241452,1000
SLy,0.010854271356783919,455.0502509224901,457.84986603806504,430.7858339782631,485.86026840333074,2.7996151155749587,-24.264416944226966,30.810017480840663,1000
SLy,0.01115577889447236,455.0502509224901,458.15606266700996,430.9522067549108,485.8390391239749,3.1058117445198867,-24.098044167579314,30.7887882014848,1000
SLy,0.011457286432160802,455.0502509224901,458.17340525065345,431.37201354371126,486.15028832561944,3.123154328163353,-23.678237378778793,31.100037403129388,1000
SLy,0.011758793969849244,455.0502509224901,458.3443552521054,431.60453804167685,486.573255496435,3.2941043296153056,-23.445712880813204,31.523004573944938,1000
SLy,0.012060301507537688,455.0502509224901,458.43229603194305,431.8227386274726,486.9226775538393,3.3820451094529496,-23.227512295017522,31.872426631349246,1000
SLy,0.01236180904522613,455.0502509224901,458.56762066639027,431.73575736676366,487.11159632070127,3.5173697439001703,-23.31449355572643,32.0613453982112,1000
SLy,0.012663316582914572,455.0502509224901,458.6675882046698,431.5542241834291,487.5290056142598,3.617337282179715,-23.49602673906102,32.47875469176971,1000
SLy,0.012964824120603013,455.0502509224901,458.56030947036544,431.8936182261609,487.7826607270565,3.5100585478753477,-23.156632696329133,32.73240980456646,1000
SLy,0.013266331658291455,455.0502509224901,458.95353304508336,431.8759154062121,488.0979458034294,3.903282122593261,-23.174335516278003,33.04769488093936,1000
SLy,0.013567839195979897,455.0502509224901,459.11834813522484,432.0708743922948,488.3341146793647,4.068097212734779,-22.979376530195278,33.28386375687461,1000
SLy,0.01386934673366834,455.0502509224901,459.2227105933465,431.6199760687803,488.56159364476844,4.172459670856426,-23.430274853709783,33.51134272227838,1000
SLy,0.014170854271356783,455.0502509224901,459.5129886740721,431.73650374853355,488.68638879038923,4.4627377515820505,-23.313747173956504,33.63613786789917,1000
SLy,0.014472361809045224,455.0502509224901,459.56363350502943,431.8898182044969,488.9728958137047,4.51338258253934,-23.160432717993164,33.92264489121467,1000
SLy,0.014773869346733666,455.0502509224901,459.70003472782815,432.0996006344629,489.3334826793889,4.649783805338066,-22.950650288027212,34.2832317568988,1000
SLy,0.015075376884422108,455.0502509224901,459.8283989346268,432.1823177452143,489.6845462450875,4.778148012136746,-22.86793317727579,34.634295322597424,1000
SLy,0.015376884422110552,455.0502509224901,459.9006579878582,432.28896724191213,490.01364380322786,4.85040706536815,-22.761283680577957,34.96339288073776,1000
SLy,0.015678391959798994,455.0502509224901,460.08162677567327,432.0715362249615,490.34758694995986,5.031375853183174,-22.978714697528567,35.29733602746978,1000
SLy,0.015979899497487435,455.0502509224901,460.28693930686785,431.8794974074915,490.63290410933774,5.236688384377787,-23.170753514998605,35.58265318684768,1000
SLy,0.016281407035175877,455.0502509224901,460.3777938189775,432.03061619140374,490.7162446555923,5.32754289648745,-23.019634731086327,35.6659937331022,1000
SLy,0.01658291457286432,455.0502509224901,460.44818633060925,432.21726856824614,491.0289160216167,5.397935408119142,-22.832982354243942,35.97866509912662,1000
SLy,0.01688442211055276,455.0502509224901,460.5484870282588,432.46899699043325,491.36467419879574,5.498236105768715,-22.581253932056804,36.31442327630567,1000
SLy,0.017185929648241203,455.0502509224901,460.6983107054973,432.6149013334864,491.6719587149455,5.648059783007252,-22.43534958900371,36.621707792455396,1000
SLy,0.017487437185929645,455.0502509224901,460.8177352786179,432.62645243798045,491.7399435408551,5.767484356127788,-22.42379848450965,36.689692618365044,1000
SLy,0.01778894472361809,455.0502509224901,461.0651583643993,432.6374446782905,491.9067574786209,6.01490744190923,-22.412806244199615,36.856506556130824,1000
SLy,0.018090452261306532,455.0502509224901,461.1929831489518,432.6724003090342,492.13068355357564,6.14273222646168,-22.3778506134559,37.080432631085586,1000
SLy,0.018391959798994974,455.0502509224901,461.3755090113366,432.740345941669,492.34063486022495,6.325258088846501,-22.309904980821077,37.29038393773486,1000
SLy,0.018693467336683416,455.0502509224901,461.47156414972557,433.0131901884413,492.409710836898,6.4213132272355065,-22.037060734048787,37.3594599144079,1000
SLy,0.018994974874371857,455.0502509224901,461.6472789804453,433.0376209607148,492.73201647570306,6.597028057955251,-22.012629961775282,37.68176555321298,1000
SLy,0.0192964824120603,455.0502509224901,461.6728870566189,433.13282724876706,492.9737220511364,6.622636134128813,-21.917423673723,37.92347112864631,1000
SLy,0.01959798994974874,455.0502509224901,461.7904925274385,432.90475898545947,493.1813550753693,6.7402416049484195,-22.14549193703061,38.13110415287921,1000
SLy,0.019899497487437183,455.0502509224901,461.89940561661774,432.9407246085898,493.377697609132,6.849154694127646,-22.109526313900286,38.3274466866419,1000
SLy,0.020201005025125625,455.0502509224901,462.0787402894037,432.84171520279216,493.5694428860293,7.02848936691362,-22.208535719697938,38.51919196353924,1000
