scheme,scale,I,I_err,Sigma_pp
PV,10.0,0.11665032352967952,8.951379650282927e-13,0.11665032352967952
PV,30.0,0.17230667225561486,9.185276702968182e-13,0.17230667225561486
PV,100.0,0.23330064705935913,8.900575827229848e-12,0.23330064705935913
PV,300.0,0.28895699578529443,2.9983617827779385e-12,0.28895699578529443
PV,1000.0,0.3499509705890386,3.35998281640311e-11,0.3499509705890386
DimReg_finite,0.1,-0.11665032352967954,0.0,-0.11665032352967954
DimReg_finite,0.3333333333333333,-0.05565634872593528,0.0,-0.05565634872593528
DimReg_finite,1.0,0.0,0.0,0.0
DimReg_finite,3.0,0.05565634872593528,0.0,0.05565634872593528
DimReg_finite,10.0,0.11665032352967956,0.0,0.11665032352967956
