rho_c,M_msun,R_km,Lambda,C,k2,profile,W_max,W_center
158489319246111.1,0.04308100824054377,6.2988078961102225,2607401892.8192873,0.010099755410425936,0.4110110686419609,,0.0,0.0
199526231496887.47,0.07088919813873872,6.886206502261909,330838207.0140943,0.01520139285378029,0.4028318782365048,,0.0,0.0
251188643150957.2,0.11554355203019445,7.5042150329258455,42880907.85155461,0.022736510151789967,0.3908177287520902,,0.0,0.0
316227766016837.94,0.18570922504816026,8.13910277023722,5737301.893462813,0.033693048449606154,0.3736805506067769,,0.0,0.0
398107170553496.94,0.2924999776026754,8.7675777914066,804321.8644596954,0.049263988507427414,0.35008135791058254,,0.0,0.0
501187233627271.44,0.4477170966878905,9.354111956298368,120514.32823272179,0.07067803656031073,0.3188249679650607,,0.0,0.0
630957344480191.8,0.7360833116159018,10.030661079126789,12125.190480847887,0.10836293916864632,0.27175885822162915,,0.0,0.0
794328234724282.1,1.144365017807407,10.599532590500976,1393.5782931007896,0.1594267598921804,0.21529241583426528,,0.0,0.0
1000000000000000.0,1.5998036580168011,10.872126740799912,212.3229515076222,0.21728789865303064,0.15426446651081605,,0.0,0.0
1258925411794166.2,1.9662681525998669,10.761369182227718,48.22377003279398,0.2698103314012944,0.10342970726943398,,0.0,0.0
1584893192461110.8,2.171471038650139,10.325292368387505,15.496592639774654,0.3105525106048233,0.06714330252781835,,0.0,0.0
1995262314968882.8,2.2131764453695455,9.70516476562127,6.778232613206219,0.33674138015287214,0.04402406748164765,,0.0,0.0
2511886431509582.0,2.1423555159797885,9.050544527349901,3.9018958892552167,0.3495426654502059,0.030539920668511026,,0.0,0.0
3162277660168379.0,2.019642333979533,8.475890000933314,2.9403139645900853,0.3518621196107091,0.023787430824460203,,0.0,0.0
3981071705534969.0,1.8921299043416513,8.051243373714575,2.851546909049895,0.3470334644660276,0.021529233036287808,,0.0,0.0
5011872336272715.0,1.7892226029149787,7.803539328088828,3.3040619118824885,0.33857595600579676,0.022050579261120414,,0.0,0.0
6309573444801942.0,1.7243199906010815,7.716903603274354,4.0879069871622775,0.3299576097702301,0.023981868052656,,0.0,0.0
7943282347242821.0,1.696724520782716,7.7394696382153665,4.898820095145638,0.3237304093166278,0.026127642891740917,,0.0,0.0
