rho_c,M_msun,R_km,Lambda,C,k2,profile,W_max,W_center
158489319246111.1,0.03841096071898706,5.945877359224123,3097628989.337936,0.009539433471363361,0.36705705586596,,8.262717639696403e-50,8.262717639696403e-50
199526231496887.47,0.06326471548530295,6.502405632138594,392383865.8166623,0.014367157811143078,0.3602937358062955,,8.262717639695972e-50,8.262717639695972e-50
251188643150957.2,0.10326031914611893,7.0892531956015805,50749934.507343695,0.02150880767865909,0.35043576788927133,,8.262717639695423e-50,8.262717639695423e-50
316227766016837.94,0.16630490748292515,7.694227890599586,6768664.6783091435,0.03191709679540292,0.3362878387544807,,8.262717639694715e-50,8.262717639694715e-50
398107170553496.94,0.2627018868963064,8.296354289036193,944301.5207894153,0.04675835923132163,0.31659078095277676,,8.2627176396937955e-50,8.2627176396937955e-50
501187233627271.44,0.4037418465889109,8.86321872802964,140562.88351721052,0.06726600867631476,0.2903622891579913,,8.262717639692586e-50,8.262717639692586e-50
630957344480191.8,0.6686481108124782,9.526901007081412,13958.894719800028,0.10364045962791409,0.2503738355710157,,8.262717639690891e-50,8.262717639690891e-50
794328234724282.1,1.0500372740100463,10.099869469913584,1573.0477048449463,0.15352259963407988,0.2012309286754415,,8.2627176396884115e-50,8.2627176396884115e-50
1000000000000000.0,1.4852856406262336,10.397772922842377,234.33868245575704,0.21093712127734962,0.1467913000175807,,8.262717639684535e-50,8.262717639684535e-50
1258925411794166.2,1.845793025272854,10.325133048313043,52.018350068418975,0.2639798057407759,0.10002334097622834,,8.262717639678098e-50,8.262717639678098e-50
1584893192461110.8,2.0564500288691616,9.927996698629965,16.394223544497876,0.30587212314192125,0.06583875350240308,,8.262717639666583e-50,8.262717639666583e-50
1995262314968882.8,2.107786831101628,9.337872642381273,7.08226044102539,0.33332055895907636,0.04370928069971586,,8.2627176396447015e-50,8.2627176396447015e-50
2511886431509582.0,2.0454473180959196,8.700971044714825,4.043611979220296,0.3471394219927409,0.030575981965349226,,8.2627176396011985e-50,8.2627176396011985e-50
3162277660168379.0,1.928140562491715,8.13269894314392,3.020605770539569,0.35009616716280517,0.023829892739946894,,8.2627176395119335e-50,8.2627176395119335e-50
3981071705534969.0,1.8029788921885217,7.7061947179433,2.9066616929833438,0.3454888412654078,0.02146129235532981,,8.262717639324983e-50,8.262717639324983e-50
5011872336272715.0,1.7001550304364206,7.452737282324898,3.3653402939197306,0.33686514208110124,0.021897806447879312,,8.262717638928425e-50,8.262717638928425e-50
6309573444801942.0,1.6342461483747515,7.361251662329109,4.189406852116449,0.32783035626166596,0.023795214610832033,,8.262717638080708e-50,8.262717638080708e-50
7943282347242821.0,1.605722017140688,7.3825337459646425,5.067054599787307,0.32117984374034275,0.02597695580343491,,8.262717636260186e-50,8.262717636260186e-50
