rho_c,M_msun,R_km,Lambda,C,k2,profile,W_max,W_center
158489319246111.1,0.14116763278971842,9.27116714343361,46465962.32417585,0.022484543905904857,0.4005406581760816,,0.0,0.0
199526231496887.47,0.23284209237539116,10.142539278478962,5692271.660311536,0.03389987962256247,0.38226774760224,,0.0,0.0
251188643150957.2,0.3756841014026894,11.013604711485915,733191.0031046649,0.05037054992230952,0.3566086289920262,,0.0,0.0
316227766016837.94,0.5873432066305074,11.833122233204147,101605.65644138205,0.07329527189636847,0.32239548144075514,,0.0,0.0
398107170553496.94,0.8792525929549841,12.529750260442066,15609.047022081571,0.10362262836780425,0.2797310447844982,,0.0,0.0
501187233627271.44,1.2438498741365096,13.019349426241995,2757.609947974304,0.1410788933609041,0.23117151432442254,,0.0,0.0
630957344480191.8,1.5236307793872748,13.152053552440286,879.326733917988,0.17106829616196245,0.19323651005648285,,0.0,0.0
794328234724282.1,1.7516553284703589,13.00821637871,338.6659369280025,0.19884481141648355,0.1579188934629171,,0.0,0.0
1000000000000000.0,1.9187401760470024,12.640470025006657,150.55698352093708,0.22414874267583118,0.12778318227492047,,0.0,0.0
1258925411794166.2,2.0133178719497664,12.135828302181197,78.83864712231065,0.2449775496073736,0.10434264791013557,,0.0,0.0
1584893192461110.8,2.044160407809901,11.530350310357996,46.49227813572975,0.26179167471709847,0.08575337924867864,,0.0,0.0
1995262314968882.8,2.021552158114648,10.875415299050433,30.460142837790695,0.27448743047006063,0.07119270642439302,,0.0,0.0
2511886431509582.0,1.9584359048704174,10.217666385002273,22.026432147642982,0.28303556150538284,0.06001232330260612,,0.0,0.0
3162277660168379.0,1.868393543716539,9.59602885711041,17.499599155698014,0.28751477908326906,0.051572742643463496,,0.0,0.0
3981071705534969.0,1.7641214078461953,9.041360162998972,15.264751025639992,0.2881230884851339,0.04546438194984235,,0.0,0.0
5011872336272715.0,1.6566323827831029,8.577455676464615,14.625487289657821,0.2852009874621247,0.041395842708189676,,0.0,0.0
6309573444801942.0,1.5549944551458579,8.221996007083098,15.361578043606082,0.2792768543867937,0.03914729978403143,,0.0,0.0
7943282347242821.0,1.4664314265916436,7.9866802565947665,17.520533973557683,0.2711307792544673,0.0385063814272863,,0.0,0.0
