rho_c,M_msun,R_km,Lambda,C,k2,profile,W_max,W_center
158489319246111.1,0.1333580611302218,9.097611680284738,52151534.784746386,0.02164587958318086,0.37173593334772165,,2.7597587164888808e-37,2.7597587164888808e-37
199526231496887.47,0.2201806833740381,9.956364663897936,6383863.324141829,0.03265590932686687,0.35561800965480467,,2.1715018242719696e-37,2.1715018242719696e-37
251188643150957.2,0.35577780568981987,10.81735110871687,821417.5041245136,0.04856700102682154,0.33293668205326493,,1.700027771784475e-37,1.700027771784475e-37
316227766016837.94,0.5573948750029678,11.631383367954335,113684.8431717121,0.07076442172149083,0.30259979965639583,,1.3208376687739388e-37,1.3208376687739388e-37
398107170553496.94,0.8368489412294325,12.329485772023395,17432.980918823494,0.10022717008124887,0.26447842800253035,,1.014724793724978e-37,1.014724793724978e-37
501187233627271.44,1.1883746625153326,12.829464017635951,3071.0780540460523,0.13678177383842438,0.2205582317243235,,7.669361749427155e-38,7.669361749427155e-38
630957344480191.8,1.460535916524203,12.976463736409105,977.4661749635022,0.16620314782260193,0.18594701933817578,,5.782106517904828e-38,5.782106517904828e-38
794328234724282.1,1.6849631521074702,12.851577500477676,375.9851980649039,0.19360533888799156,0.15340822795665746,,4.3013839724632033e-38,4.3013839724632033e-38
1000000000000000.0,1.8522453419308686,12.505402717157441,166.65137725490627,0.21871783089676466,0.1251183813064394,,3.1503213056866464e-38,3.1503213056866464e-38
1258925411794166.2,1.9499409008880482,12.02141994401856,87.0915948532912,0.2395240030759028,0.10299418585446293,,2.2791533967597596e-38,2.2791533967597596e-38
1584893192461110.8,1.9859281232230217,11.435076707787658,51.24721950922057,0.2564530123472796,0.0852708495487109,,1.6220822468633436e-38,1.6220822468633436e-38
1995262314968882.8,1.9694542613131503,10.796538645812161,33.525702576680594,0.2693672028568014,0.07131694475738123,,1.1348465671870888e-38,1.1348465671870888e-38
2511886431509582.0,1.9126388747460483,10.151769030195625,24.199197306389536,0.2782112012033598,0.06050137939470645,,7.803617619409264e-39,7.803617619409264e-39
3162277660168379.0,1.8284342021847684,9.539236265404158,19.187796938332074,0.28304083191724594,0.052283160547410695,,5.276349347616333e-39,5.276349347616333e-39
3981071705534969.0,1.7291618003316178,8.989658409662319,16.6841108920714,0.28403758019304204,0.046267213812643024,,3.5112715915919736e-39,3.5112715915919736e-39
5011872336272715.0,1.6256253088136363,8.526772294831968,15.901844705560023,0.28152641345388213,0.04218271269225717,,2.30293883838033e-39,2.30293883838033e-39
6309573444801942.0,1.5267854620476868,8.168240607988807,16.57450690536408,0.2760151083589865,0.03982870174504073,,1.491058977295499e-39,1.491058977295499e-39
7943282347242821.0,1.4398057905917603,7.925848765636855,18.728491112231026,0.2682510901746249,0.03902128135538135,,9.546767389430804e-40,9.546767389430804e-40
