rho_c,M_msun,R_km,Lambda,C,k2,profile,W_max,W_center
158489319246111.1,0.12971917385884554,9.014409438667737,55219033.54222866,0.021249575325653774,0.3588651915699347,,4.139638074733321e-37,4.139638074733321e-37
199526231496887.47,0.2142737343749923,9.867037674101718,6757206.194717694,0.0320675302544547,0.34370511579854746,,3.257252736407954e-37,3.257252736407954e-37
251188643150957.2,0.3464737590786218,10.723069460661879,869100.7868077718,0.04771276551427306,0.32235495547113907,,2.550041657676712e-37,2.550041657676712e-37
316227766016837.94,0.5433598512304142,11.534287031249518,120196.44800869167,0.0695632960635167,0.2936862751607917,,1.981256503160908e-37,1.981256503160908e-37
398107170553496.94,0.8169024306140821,12.232843545021735,18414.190788929405,0.09861117371277708,0.2575576996436798,,1.5220871905874665e-37,1.5220871905874665e-37
501187233627271.44,1.1621486879781742,12.73749574505182,3239.7910544402453,0.13472897485978047,0.21573136302590978,,1.1504042624140732e-37,1.1504042624140732e-37
630957344480191.8,1.4305750895079787,12.89113322896278,1030.1362894871017,0.16387130889918297,0.18259990981951568,,8.673159776857242e-38,8.673159776857242e-38
794328234724282.1,1.6531453096177686,12.77517624490114,395.8293748491145,0.19108539301451655,0.1512643999846868,,6.452075958694804e-38,6.452075958694804e-38
1000000000000000.0,1.8203582072276965,12.439220273531634,175.2787307083023,0.21609616457687628,0.12389556845065577,,4.725481958529969e-38,4.725481958529969e-38
1258925411794166.2,1.9194100750372587,11.965128563580913,91.48768116584321,0.23688292753483645,0.10235821119781709,,3.418730095139639e-38,3.418730095139639e-38
1584893192461110.8,1.957745169833411,11.387995032171709,53.774869994878934,0.2538588177192771,0.08504169226094863,,2.433123370295015e-38,2.433123370295015e-38
1995262314968882.8,1.9441412059018832,10.757430186274577,35.13797904637315,0.26687176622418984,0.0713478988775617,,1.7022698507806332e-38,1.7022698507806332e-38
2511886431509582.0,1.8903104115793643,10.119026057781712,25.33598526829379,0.27585303916453346,0.06070408569988229,,1.1705426429113896e-38,1.1705426429113896e-38
3162277660168379.0,1.8088952646032046,9.510998233072325,20.0722180514469,0.28084757730320914,0.05260657583724445,,7.914524021424498e-39,7.914524021424498e-39
3981071705534969.0,1.712039865571323,8.964036824066566,17.425245180298337,0.28202889266838677,0.046637812033379515,,5.2669073873879604e-39,5.2669073873879604e-39
5011872336272715.0,1.6104349035603598,8.501823423660055,16.56478593491237,0.2797141616528862,0.04254508161596861,,3.454408257570495e-39,3.454408257570495e-39
6309573444801942.0,1.512984604973373,8.142010544637301,17.204641372912818,0.2744013283839226,0.040148371184191615,,2.2365884659432487e-39,2.2365884659432487e-39
7943282347242821.0,1.426821316231132,7.896426855398365,19.352913509939306,0.26682242877467366,0.03925990822447621,,1.4320151084146203e-39,1.4320151084146203e-39
