rho_c,M_msun,R_km,Lambda,C,k2,profile,W_max,W_center
158489319246111.1,0.12615245947479473,8.758316918614936,54968575.8345281,0.02126955613581671,0.35892018152206445,,8.262717639696387e-50,8.262717639696387e-50
199526231496887.47,0.2085160443022088,9.588208825898663,6711057.2222133195,0.03211333089487635,0.3438024540429656,,8.2627176396959415e-50,8.2627176396959415e-50
251188643150957.2,0.33746993305959766,10.422269078216468,860155.9921519479,0.04781411975111561,0.32244028973532307,,8.26271763969536e-50,8.26271763969536e-50
316227766016837.94,0.5298906013071101,11.21380206707034,118362.92821089007,0.06977770660064081,0.293690850047339,,8.26271763969459e-50,8.26271763969459e-50
398107170553496.94,0.7978949137564961,11.896702949244428,18007.341591349737,0.09903813189256677,0.2573671192411001,,8.262717639693551e-50,8.262717639693551e-50
501187233627271.44,1.1371422374317814,12.391154623654426,3139.325909161927,0.13551468990661616,0.21520856003626979,,8.262717639692103e-50,8.262717639692103e-50
630957344480191.8,1.4013817135165891,12.541643959019193,990.7028516483787,0.16500053012829163,0.18174453888154354,,8.262717639690165e-50,8.262717639690165e-50
794328234724282.1,1.6205995756052705,12.426875481483405,377.8374882437922,0.19257377111115084,0.15010044516245266,,8.262717639687456e-50,8.262717639687456e-50
1000000000000000.0,1.7852522412344802,12.095156293346621,165.9961339939297,0.21795732205053253,0.1224747464296057,,8.262717639683589e-50,8.262717639683589e-50
1258925411794166.2,1.8824435871406735,11.626784950759692,85.99952301972871,0.2390813455295971,0.10076640351031488,,8.262717639678067e-50,8.262717639678067e-50
1584893192461110.8,1.919329136847623,11.056098125946175,50.1746246656019,0.256348589820218,0.0833163153410082,,8.262717639669977e-50,8.262717639669977e-50
1995262314968882.8,1.9045793394883856,10.432038592583469,32.56639356317412,0.2695958761876564,0.06957082447991142,,8.26271763965793e-50,8.26271763965793e-50
2511886431509582.0,1.8498266935406094,9.799709360067645,23.340971423997473,0.2787412270762656,0.05891368981016769,,8.262717639639712e-50,8.262717639639712e-50
3162277660168379.0,1.767671636499906,9.197057122495156,18.396426364782467,0.2838154742927949,0.05081653844522382,,8.262717639611776e-50,8.262717639611776e-50
3981071705534969.0,1.6702037271013253,8.654545133594214,15.928486854600788,0.2849761811384011,0.04490643637344467,,8.262717639568412e-50,8.262717639568412e-50
5011872336272715.0,1.5680834675009292,8.195893926710863,15.15013722858854,0.2825245604903166,0.040906174403575336,,8.262717639500399e-50,8.262717639500399e-50
6309573444801942.0,1.4701945866051496,7.8390421266134975,15.806582912083046,0.2769460542367489,0.038628261481890774,,8.262717639392785e-50,8.262717639392785e-50
7943282347242821.0,1.3836846530991054,7.59644155424845,17.937616092108314,0.26897398928013144,0.037879776258589314,,8.262717639221279e-50,8.262717639221279e-50
