rho_c,M_msun,R_km,Lambda,C,k2,profile,W_max,W_center
158489319246111.1,0.07141089608252812,7.379305993150375,413977008.2120158,0.014290003145619522,0.3700233260585748,,4.1640820930824886e-37,4.1640820930824886e-37
199526231496887.47,0.12007183204259708,8.125623203690798,48413258.766086094,0.021820656788961765,0.3592482555563474,,3.2867565794071257e-37,3.2867565794071257e-37
251188643150957.2,0.1988801070910674,8.902229107016884,5861907.15233758,0.03298951563259366,0.3435657714856516,,2.585349871449027e-37,2.585349871449027e-37
316227766016837.94,0.3221965067691343,9.68062787281737,747439.9869181914,0.04914741299361242,0.3214925399681115,,2.0229693046190817e-37,2.0229693046190817e-37
398107170553496.94,0.5056552331499521,10.415406167307733,102765.29682571655,0.07169050778343207,0.29190801691958473,,1.570427265216795e-37,1.570427265216795e-37
501187233627271.44,0.7595866669698796,11.043048782033194,15711.058802940872,0.10157146191841938,0.2547740727446172,,1.2048710450404528e-37,1.2048710450404528e-37
630957344480191.8,1.1124302638777062,11.53900940254076,2382.1738163446153,0.14235988521638934,0.2089309849628104,,9.042125429532646e-38,9.042125429532646e-38
794328234724282.1,1.513313505081966,11.780330205958808,437.9813047817577,0.18969452866913394,0.16136927804497828,,6.588034693733916e-38,6.588034693733916e-38
1000000000000000.0,1.8804365109218628,11.698832536382959,104.3884093469766,0.23735561586639403,0.11796172022420315,,4.60979275808147e-38,4.60979275808147e-38
1258925411794166.2,2.121173999377074,11.32766328659232,35.016615585002114,0.2765154008413844,0.08491062776678626,,3.095418237980587e-38,3.095418237980587e-38
1584893192461110.8,2.223525536720699,10.746608744257511,15.296829664756686,0.3055301300578957,0.06108898571307725,,1.975211775296989e-38,1.975211775296989e-38
1995262314968882.8,2.208965315952399,10.072789376479252,8.409296535294004,0.3238340452375418,0.04492245176193518,,1.1964593033319293e-38,1.1964593033319293e-38
2511886431509582.0,2.1191284837720286,9.413220901035334,5.690395632945838,0.3324316762870851,0.03465338942740807,,6.907566699800171e-39,6.907566699800171e-39
3162277660168379.0,1.995899905785556,8.847772098324274,4.696541848134831,0.333110399370281,0.02889418247672404,,3.830380531566835e-39,3.830380531566835e-39
3981071705534969.0,1.8720318614139426,8.426913535970257,4.664217850790977,0.32804094863429695,0.02657727079410547,,2.0586752192764278e-39,2.0586752192764278e-39
5011872336272715.0,1.7694265121172255,8.172146206353402,5.330943700219717,0.31972733171650347,0.02671739870317703,,1.0815735265884511e-39,1.0815735265884511e-39
6309573444801942.0,1.6997891277047992,8.07426639577198,6.5066752159623915,0.3108675095664665,0.02833525061202426,,5.593193438784398e-40,5.593193438784398e-40
7943282347242821.0,1.665018674912736,8.09364985175192,7.851514088098764,0.30377921670482194,0.03046736974205906,,2.8618430192483616e-40,2.8618430192483616e-40
