rho_c,M_msun,R_km,Lambda,C,k2,profile,W_max,W_center
158489319246111.1,0.06941805241821093,7.168926465541324,412751183.6131426,0.014298868109369332,0.3700734151491873,,8.262717639696397e-50,8.262717639696397e-50
199526231496887.47,0.11677444837659642,7.894853503825975,48189690.065850064,0.02184173379801196,0.35931962750004354,,8.26271763969596e-50,8.26271763969596e-50
251188643150957.2,0.1935467027922076,8.650788828725776,5820655.610392332,0.033037975550121924,0.34366104034816114,,8.262717639695397e-50,8.262717639695397e-50
316227766016837.94,0.3138498064431356,9.40926834902444,739497.3197105966,0.049254892040499716,0.3215694040529724,,8.262717639694661e-50,8.262717639694661e-50
398107170553496.94,0.4931795927316586,10.12629977355172,101144.93024185025,0.07191801280909771,0.29189306176781904,,8.262717639693689e-50,8.262717639693689e-50
501187233627271.44,0.7420293060819274,10.739968565039307,15353.946644263842,0.10202377963345062,0.25457651048352636,,8.262717639692372e-50,8.262717639692372e-50
630957344480191.8,1.0889412201681636,11.226107537668916,2303.694328902145,0.1432381161273998,0.20835748896090842,,8.262717639690485e-50,8.262717639690485e-50
794328234724282.1,1.4843785284141295,11.463023939197376,417.6326572780567,0.19121802366954144,0.16015106709462368,,8.262717639687674e-50,8.262717639687674e-50
1000000000000000.0,1.847149048579973,11.381440162591375,97.92909857339711,0.2396558762242143,0.11612973272265159,,8.262717639683227e-50,8.262717639683227e-50
1258925411794166.2,2.0843852904650135,11.012248682577138,32.29400798019652,0.2795022771085207,0.0826304198639689,,8.262717639675981e-50,8.262717639675981e-50
1584893192461110.8,2.1834070583328025,10.433594411452987,13.855280234547871,0.30901824424853513,0.05856352055897752,,8.262717639663472e-50,8.262717639663472e-50
1995262314968882.8,2.1656440317377124,9.76174860979241,7.4965430237799655,0.3275991864845356,0.042429349157261396,,8.262717639640975e-50,8.262717639640975e-50
2511886431509582.0,2.0729099103967092,9.10344188593671,5.016918870470523,0.3362468037121651,0.03234589412651886,,8.2627176395992e-50,8.2627176395992e-50
3162277660168379.0,1.9472347522843032,8.538790993050068,4.1338273241766395,0.3367482050287465,0.026851591901243678,,8.262717639519798e-50,8.262717639519798e-50
3981071705534969.0,1.8214776030747792,8.119222030058145,4.14185044285659,0.33127813962953073,0.02478846104913001,,8.262717639366404e-50,8.262717639366404e-50
5011872336272715.0,1.7177353766445007,7.867755270401575,4.818213396789409,0.3223953568369416,0.025172200485433165,,8.262717639066805e-50,8.262717639066805e-50
6309573444801942.0,1.648013707425901,7.776390980579748,5.9972779014079824,0.31294361333437604,0.027000754267925364,,8.262717638477403e-50,8.262717638477403e-50
7943282347242821.0,1.6143930532491577,7.8049397137425975,7.3487492514326,0.3054380147165586,0.029303542761797922,,8.262717637312425e-50,8.262717637312425e-50
