rho_c,M_msun,R_km,Lambda,C,k2,profile,W_max,W_center
158489319246111.1,0.04344958614913881,6.200201682497573,2240701544.3680015,0.010348161276027126,0.3988331195280799,,2.7858266786492525e-37,2.7858266786492525e-37
199526231496887.47,0.07574259236182879,6.910036841035969,233880912.0406194,0.01618613518770258,0.38976411738939143,,2.202592725619793e-37,2.202592725619793e-37
251188643150957.2,0.13044387500219196,7.6696420128950695,25094776.97857281,0.02511492925912743,0.3761269008556307,,1.7367941766925056e-37,1.7367941766925056e-37
316227766016837.94,0.22053948906578807,8.459875517456279,2808720.5512878112,0.03849512661356165,0.3561463952915047,,1.363768918778427e-37,1.363768918778427e-37
398107170553496.94,0.3627611073299128,9.245595584207434,334988.43275823316,0.05793875877448201,0.3280703676401888,,1.0639269570679709e-37,1.0639269570679709e-37
501187233627271.44,0.5736051817434493,9.971173808766567,43859.104718386014,0.08494740967764317,0.29100585241593785,,8.218110796496111e-38,8.218110796496111e-38
630957344480191.8,0.8568919501836793,10.556310431397844,6633.388696138158,0.11986634720055503,0.246214179146271,,6.256349568212352e-38,6.256349568212352e-38
794328234724282.1,1.195140460148673,10.923138749547824,1194.6362077212839,0.1615678180506826,0.1972882553031539,,4.6630380065457585e-38,4.6630380065457585e-38
1000000000000000.0,1.53967561826402,11.011536944767633,266.456492029165,0.20647365857442782,0.14998258388757083,,3.3749371643795883e-38,3.3749371643795883e-38
1258925411794166.2,1.8085537813193502,10.817544791661597,81.02605253434474,0.24688010125336288,0.11146701584274163,,2.3687913606883854e-38,2.3687913606883854e-38
1584893192461110.8,1.9734542226007683,10.388471000304422,31.318737745007418,0.2805167417872291,0.08159986471747291,,1.5969526188307282e-38,1.5969526188307282e-38
1995262314968882.8,2.0290332590103106,9.81178377295033,15.089131351647566,0.30536872652447267,0.06010052807238691,,1.0299029236801584e-38,1.0299029236801584e-38
2511886431509582.0,1.996118590080824,9.182477893738382,8.858771309112827,0.3210035303968177,0.04529119644781844,,6.351269635023397e-39,6.351269635023397e-39
3162277660168379.0,1.9072940741127886,8.582282364225383,6.251466514480201,0.32816950452133564,0.03569145682758081,,3.7579419525508e-39,3.7579419525508e-39
3981071705534969.0,1.7943450692872422,8.071995587703029,5.278115107917364,0.3282527784217675,0.0301725607368295,,2.146440887867139e-39,2.146440887867139e-39
5011872336272715.0,1.6823878647528263,7.690850433413397,5.279521796821874,0.3230242467919577,0.027852325293627623,,1.1920982436206768e-39,1.1920982436206768e-39
6309573444801942.0,1.5887771976448377,7.456755697626355,6.03336880800254,0.3146273297265176,0.02790187281465501,,6.482726010010288e-40,6.482726010010288e-40
7943282347242821.0,1.5234558085883294,7.363986811842595,7.385462816814342,0.30549226603086876,0.02947610362965999,,3.4723056064065217e-40,3.4723056064065217e-40
