rho_c,M_msun,R_km,Lambda,C,k2,profile,W_max,W_center
158489319246111.1,0.04224372492418275,6.142399282233119,2372571378.280295,0.010155645272414752,0.3844573434971029,,4.178740017973879e-37,4.178740017973879e-37
199526231496887.47,0.07365842756970747,6.846232937234372,247634236.3842449,0.01588744766334341,0.3759868110900749,,3.303889088429689e-37,3.303889088429689e-37
251188643150957.2,0.12690224663777006,7.599881279095951,26563707.18118244,0.024657319562278304,0.3631694111948696,,2.605191265038758e-37,2.605191265038758e-37
316227766016837.94,0.2146745732413327,8.384703046253644,2971831.164433892,0.0378073539387485,0.3443473989262342,,2.0456533781676404e-37,2.0456533781676404e-37
398107170553496.94,0.3534149361710768,9.166332649262216,354294.1166055202,0.05693412453718354,0.3179204280702311,,1.5958904356019561e-37,1.5958904356019561e-37
501187233627271.44,0.5595119949543405,9.890183095419923,46349.65175179019,0.08353883813347637,0.28286543929042124,,1.2327166194744167e-37,1.2327166194744167e-37
630957344480191.8,0.8372323889293536,10.477049013207075,7001.893513798205,0.118002282085827,0.24030277855979237,,9.384524352318528e-38,9.384524352318528e-38
794328234724282.1,1.1702109424639109,10.84972219472371,1258.957381066439,0.15926813607195195,0.1935293219249398,,6.994557009818636e-38,6.994557009818636e-38
1000000000000000.0,1.511340462280457,10.947735552516683,280.3243893164214,0.20385500204825277,0.14803315845660106,,5.062405746569382e-38,5.062405746569382e-38
1258925411794166.2,1.7797515290872925,10.764960645711591,85.13679566810606,0.24413513686374455,0.11075414930913442,,3.553187041032578e-38,3.553187041032578e-38
1584893192461110.8,1.9466882388181188,10.347122792462894,32.89772932876917,0.27781786084996735,0.08166914277049754,,2.395428928246092e-38,2.395428928246092e-38
1995262314968882.8,2.0056980143730554,9.780051053288567,15.85326565466286,0.30283619697411956,0.06056879234949835,,1.5448543855202375e-38,1.5448543855202375e-38
2511886431509582.0,1.9764351854129452,9.157730204327063,9.317684959909275,0.3186970864475052,0.045950447707453816,,9.526904452535096e-39,9.526904452535096e-39
3162277660168379.0,1.8907412495634852,8.56169591165145,6.5777142443276295,0.32610365114901013,0.03638685902243755,,5.636912928826199e-39,5.636912928826199e-39
3981071705534969.0,1.7800876293344403,8.052850549938702,5.543020897366464,0.3264187548646043,0.030811532097004206,,3.2196613318007086e-39,3.2196613318007086e-39
5011872336272715.0,1.6695358824635178,7.670757397164834,5.518806014586695,0.32139629870680764,0.028388388693976425,,1.788147365431015e-39,1.788147365431015e-39
6309573444801942.0,1.57649101115301,7.433771270499888,6.269745600533446,0.31315955383165356,0.028324973135300184,,9.724089015015432e-40,9.724089015015432e-40
7943282347242821.0,1.511012471805276,7.336935754589758,7.636719565133914,0.30411419624228814,0.02979761953285959,,5.208458409609782e-40,5.208458409609782e-40
