rho_c,M_msun,R_km,Lambda,C,k2,profile,W_max,W_center
158489319246111.1,0.04105422819527665,5.966915527300312,2367815024.9950075,0.0101599451487734,0.3844995603903488,,8.262717639696403e-50,8.262717639696403e-50
199526231496887.47,0.07161006751741023,6.651239953488142,246800298.53627545,0.015898451569223843,0.37602011763433196,,8.262717639695971e-50,8.262717639695971e-50
251188643150957.2,0.12343877556087912,7.38439950871598,26424931.567771178,0.024684241197118612,0.36324867370409897,,8.262717639695417e-50,8.262717639695417e-50
316227766016837.94,0.20897801272709732,8.148517305252689,2947865.4424242503,0.03787087710884299,0.34444963873042067,,8.262717639694699e-50,8.262717639694699e-50
398107170553496.94,0.34441601743226496,8.910445975855742,349868.65821880393,0.05707780457081178,0.31793079735988267,,8.26271763969376e-50,8.26271763969376e-50
501187233627271.44,0.5460700621325929,9.61722760771232,45491.49663957716,0.08384590058836712,0.28276825602399924,,8.262717639692499e-50,8.262717639692499e-50
630957344480191.8,0.81858370816797,10.191443827149957,6814.064619402906,0.11860711513762408,0.23991158536331353,,8.262717639690763e-50,8.262717639690763e-50
794328234724282.1,1.1463458576107823,10.55681358328256,1211.880286627876,0.1603489698876753,0.19270006069037887,,8.262717639688277e-50,8.262717639688277e-50
1000000000000000.0,1.483026680947466,10.652529286027601,266.2089183968044,0.20557939733819636,0.1466262754271677,,8.262717639684552e-50,8.262717639684552e-50
1258925411794166.2,1.7480664384876703,10.470836211114563,79.69987899953612,0.24652441080947307,0.1088550467576645,,8.262717639678823e-50,8.262717639678823e-50
1584893192461110.8,1.9121570857934462,10.055667238612305,30.32600931566367,0.28079930909444795,0.07941210305313014,,8.262717639669536e-50,8.262717639669536e-50
1995262314968882.8,1.9685134617427358,9.49151931324614,14.383966786031076,0.30625699315494076,0.05812995704491223,,8.262717639653844e-50,8.262717639653844e-50
2511886431509582.0,1.9367474239133577,8.871710122716792,8.336831504997452,0.32236583257570933,0.043534875571989894,,8.262717639626373e-50,8.262717639626373e-50
3162277660168379.0,1.8487950576255205,8.277468495740944,5.829796733130142,0.3298181838967724,0.03412853541202053,,8.26271763957692e-50,8.26271763957692e-50
3981071705534969.0,1.7362184254053499,7.76990948469666,4.905724694555116,0.3299679527618043,0.028784138960012105,,8.262717639485989e-50,8.262717639485989e-50
5011872336272715.0,1.6241497683040407,7.389308285597977,4.923702152774568,0.3245679627723741,0.02660181570513247,,8.262717639316231e-50,8.262717639316231e-50
6309573444801942.0,1.5301387070192787,7.155287776725979,5.684823699056201,0.3157817717803016,0.02677586719973274,,8.262717638995941e-50,8.262717638995941e-50
7943282347242821.0,1.4644997147921803,7.064094105616555,7.056278093646419,0.3061372497347242,0.02846084753725971,,8.262717638387237e-50,8.262717638387237e-50
