rho_c,M_msun,R_km,Lambda,C,k2,profile,W_max,W_center
158489319246111.1,0.028099285036661887,5.609086211175792,11634225435.861177,0.007397526262062943,0.3865995214074956,,0.0,0.0
199526231496887.47,0.04340609698216093,6.00460521764464,1836070289.8831298,0.010674551531092579,0.381705794462598,,0.0,0.0
251188643150957.2,0.06668736116481715,6.416207151694215,293385038.5355104,0.015347884299696168,0.3747760286561135,,0.0,0.0
316227766016837.94,0.1016651744348983,6.838111838548244,47720663.476909876,0.0219542887373299,0.36508550496559244,,0.0,0.0
398107170553496.94,0.15330470597123227,7.260943469823991,7960759.216336011,0.031177823342287966,0.3517828856804747,,0.0,0.0
501187233627271.44,0.22768461529979125,7.6705204357211505,1375864.8073606554,0.043832093708019784,0.3339089813749883,,0.0,0.0
630957344480191.8,0.3478897486498258,8.109094523829684,202028.4484772324,0.06335087674003646,0.30921954435958754,,0.0,0.0
794328234724282.1,0.5206906762378427,8.521337095803334,31036.329378804516,0.09023092636281187,0.2784445307620502,,0.0,0.0
1000000000000000.0,0.7459578685629918,8.842948873116901,5326.439303990609,0.12456629469425116,0.23962436382918362,,0.0,0.0
1258925411794166.2,1.0147456560117276,9.018229071394401,1022.075859747555,0.16615725132702497,0.1941649727054666,,0.0,0.0
1584893192461110.8,1.2836654367954732,8.996004403759363,238.66058452166405,0.21071019520076492,0.14869614388007496,,0.0,0.0
1995262314968882.8,1.5012677032630135,8.765566911159683,70.21939416353891,0.2529073747316342,0.10898225869981332,,0.0,0.0
2511886431509582.0,1.631150829808123,8.363819456119543,26.25288289082392,0.2879869663039355,0.07800679323963779,,0.0,0.0
3162277660168379.0,1.6676310594303732,7.860361750750314,12.339464453275651,0.3132858663981659,0.055858797596127004,,0.0,0.0
3981071705534969.0,1.6306926276599314,7.332264744626932,7.14954292450514,0.32841072472480914,0.04096907824245706,,0.0,0.0
5011872336272715.0,1.550334039077631,6.845405958777991,5.078744011781004,0.33443323891517895,0.03187093150038563,,0.0,0.0
6309573444801942.0,1.454433532065306,6.447425926229101,4.394918197534669,0.33311246053813637,0.027039362427244543,,0.0,0.0
7943282347242821.0,1.363995465708861,6.167043536610736,4.582313899346727,0.32660232588957167,0.025543032812221644,,0.0,0.0
